POSITIVE|source_reset=PASS;sink_reset=PASS;source_frames=2000;sink_frames=1800;energy=1166001;dropped=0
WRONG_CODE|cycle=10;reason=-61;invalid_frames=0;recovered_frames=100;energy=958955;dropped=0
WRONG_CODE|cycle=11;reason=-61;invalid_frames=0;recovered_frames=100;energy=910419;dropped=0
WRONG_CODE|cycle=12;reason=-61;invalid_frames=0;recovered_frames=100;energy=1107647;dropped=0
WRONG_CODE|cycle=13;reason=-61;invalid_frames=0;recovered_frames=100;energy=1139185;dropped=0
WRONG_CODE|cycle=14;reason=-61;invalid_frames=0;recovered_frames=100;energy=983480;dropped=0
WRONG_CODE|cycle=15;reason=-61;invalid_frames=0;recovered_frames=100;energy=1023285;dropped=0
WRONG_CODE|cycle=16;reason=-61;invalid_frames=0;recovered_frames=100;energy=1037734;dropped=0
WRONG_CODE|cycle=17;reason=-61;invalid_frames=0;recovered_frames=100;energy=911748;dropped=0
WRONG_CODE|cycle=18;reason=-61;invalid_frames=0;recovered_frames=100;energy=995220;dropped=0
WRONG_CODE|cycle=19;reason=-61;invalid_frames=0;recovered_frames=100;energy=1130817;dropped=0
WRONG_CODE|cycle=20;reason=-61;invalid_frames=0;recovered_frames=100;energy=1115194;dropped=0
SYNC_LOSS|cycle=1;reason=-8;elapsed=3.590;recovered_frames=100;energy=989550;dropped=0
SYNC_LOSS|cycle=2;reason=-8;elapsed=3.464;recovered_frames=100;energy=1165738;dropped=0
SYNC_LOSS|cycle=3;reason=-104;elapsed=3.657;recovered_frames=100;energy=910779;dropped=0
SYNC_LOSS|cycle=4;reason=-8;elapsed=3.708;recovered_frames=100;energy=1140289;dropped=0
SYNC_LOSS|cycle=5;reason=-104;elapsed=3.735;recovered_frames=100;energy=914314;dropped=0
SYNC_LOSS|cycle=6;reason=-104;elapsed=3.719;recovered_frames=100;energy=876224;dropped=0
SYNC_LOSS|cycle=7;reason=-8;elapsed=3.708;recovered_frames=100;energy=1150664;dropped=0
SYNC_LOSS|cycle=8;reason=-104;elapsed=3.422;recovered_frames=100;energy=919203;dropped=0
SYNC_LOSS|cycle=9;reason=-8;elapsed=3.600;recovered_frames=100;energy=989550;dropped=0
SYNC_LOSS|cycle=10;reason=-8;elapsed=3.617;recovered_frames=100;energy=989550;dropped=0
SYNC_LOSS|cycle=11;reason=-8;elapsed=3.484;recovered_frames=100;energy=1155689;dropped=0
SYNC_LOSS|cycle=12;reason=-8;elapsed=3.609;recovered_frames=100;energy=989550;dropped=0
SYNC_LOSS|cycle=13;reason=-8;elapsed=3.467;recovered_frames=100;energy=907237;dropped=0
SYNC_LOSS|cycle=14;reason=-8;elapsed=3.439;recovered_frames=100;energy=907237;dropped=0
SYNC_LOSS|cycle=15;reason=-104;elapsed=3.462;recovered_frames=100;energy=1079595;dropped=0
SYNC_LOSS|cycle=16;reason=-8;elapsed=3.589;recovered_frames=100;energy=989550;dropped=0
SYNC_LOSS|cycle=17;reason=-8;elapsed=3.709;recovered_frames=100;energy=956409;dropped=0
SYNC_LOSS|cycle=18;reason=-8;elapsed=3.783;recovered_frames=100;energy=1107647;dropped=0
SYNC_LOSS|cycle=19;reason=-8;elapsed=3.676;recovered_frames=100;energy=1169548;dropped=0
SYNC_LOSS|cycle=20;reason=-8;elapsed=3.627;recovered_frames=100;energy=956409;dropped=0
